Version,directories,Action,oldFile,newFile,numFileSolidity,totalNumLines
0x002a71749059bc9332dcba05b34408ef05476d95-0x2c9ad991a9cb036fa568f60ee699acd2fabbc781,@openzeppelin/contracts-upgradeable/proxy/beacon,edited,IBeaconUpgradeable.sol,IBeaconUpgradeable.sol,1,1
0x002a71749059bc9332dcba05b34408ef05476d95-0x2c9ad991a9cb036fa568f60ee699acd2fabbc781,@openzeppelin/contracts-upgradeable/proxy/ERC1967,edited,ERC1967UpgradeUpgradeable.sol,ERC1967UpgradeUpgradeable.sol,1,3
0x002a71749059bc9332dcba05b34408ef05476d95-0x2c9ad991a9cb036fa568f60ee699acd2fabbc781,@openzeppelin/contracts-upgradeable/proxy/utils,edited,Initializable.sol,Initializable.sol,1,20
0x002a71749059bc9332dcba05b34408ef05476d95-0x2c9ad991a9cb036fa568f60ee699acd2fabbc781,@openzeppelin/contracts-upgradeable/proxy/utils,edited,UUPSUpgradeable.sol,UUPSUpgradeable.sol,1,3
0x002a71749059bc9332dcba05b34408ef05476d95-0x2c9ad991a9cb036fa568f60ee699acd2fabbc781,@openzeppelin/contracts-upgradeable/token/ERC721,edited,ERC721Upgradeable.sol,ERC721Upgradeable.sol,1,3
0x002a71749059bc9332dcba05b34408ef05476d95-0x2c9ad991a9cb036fa568f60ee699acd2fabbc781,@openzeppelin/contracts-upgradeable/token/ERC721/extensions,edited,IERC721MetadataUpgradeable.sol,IERC721MetadataUpgradeable.sol,1,1
0x002a71749059bc9332dcba05b34408ef05476d95-0x2c9ad991a9cb036fa568f60ee699acd2fabbc781,@openzeppelin/contracts-upgradeable/token/ERC721,edited,IERC721ReceiverUpgradeable.sol,IERC721ReceiverUpgradeable.sol,1,1
0x002a71749059bc9332dcba05b34408ef05476d95-0x2c9ad991a9cb036fa568f60ee699acd2fabbc781,@openzeppelin/contracts-upgradeable/token/ERC721,edited,IERC721Upgradeable.sol,IERC721Upgradeable.sol,1,1
0x002a71749059bc9332dcba05b34408ef05476d95-0x2c9ad991a9cb036fa568f60ee699acd2fabbc781,@openzeppelin/contracts-upgradeable/utils,edited,AddressUpgradeable.sol,AddressUpgradeable.sol,1,1
0x002a71749059bc9332dcba05b34408ef05476d95-0x2c9ad991a9cb036fa568f60ee699acd2fabbc781,@openzeppelin/contracts-upgradeable/utils,edited,ContextUpgradeable.sol,ContextUpgradeable.sol,1,3
0x002a71749059bc9332dcba05b34408ef05476d95-0x2c9ad991a9cb036fa568f60ee699acd2fabbc781,@openzeppelin/contracts-upgradeable/utils,edited,CountersUpgradeable.sol,CountersUpgradeable.sol,1,1
0x002a71749059bc9332dcba05b34408ef05476d95-0x2c9ad991a9cb036fa568f60ee699acd2fabbc781,@openzeppelin/contracts-upgradeable/utils/introspection,edited,ERC165Upgradeable.sol,ERC165Upgradeable.sol,1,3
0x002a71749059bc9332dcba05b34408ef05476d95-0x2c9ad991a9cb036fa568f60ee699acd2fabbc781,@openzeppelin/contracts-upgradeable/utils/introspection,edited,IERC165Upgradeable.sol,IERC165Upgradeable.sol,1,1
0x002a71749059bc9332dcba05b34408ef05476d95-0x2c9ad991a9cb036fa568f60ee699acd2fabbc781,@openzeppelin/contracts-upgradeable/utils,edited,StorageSlotUpgradeable.sol,StorageSlotUpgradeable.sol,1,1
0x002a71749059bc9332dcba05b34408ef05476d95-0x2c9ad991a9cb036fa568f60ee699acd2fabbc781,@openzeppelin/contracts-upgradeable/utils,edited,StringsUpgradeable.sol,StringsUpgradeable.sol,1,1
0x653498a9e1c98eedaa9733d2d28617ff0e43dc18-0x4102109981d59c1491fc0faa2d40ba93a4d63fcb,./,edited,Implementation.sol,Implementation.sol,1,17
0xfe692cca43a176fed73d84e7f2019c3779dd2320-0x44849c1c0e95be9c333f64e22efe208861c4d222,contracts,edited,Vesting.sol,Vesting.sol,1,45
0x7d89e8530051f87e639ee899d0b300e755d5c4ba-0xeaa1f9538b99e01ac5aa3fbb76da5a5a97e4a47b,src/habibiz/Stake,edited,StakeBaseUpgradeable.sol,StakeBaseUpgradeable.sol,1,11
0x1d74408fc603b9b130535d7cf2009b6809e042ff-0x5ccafe74b0271ac80573044d1450e2b836f839fd,./,edited,VeToken.sol,VeToken.sol,1,6
